"filename", "language", "pip requirements", "Python", "XML", "Django", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_list_fieldex.html", "Django", 0, 0, 0, 54, 0, 0, 3, 3, 60
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_list_general.html", "Django", 0, 0, 0, 67, 0, 0, 3, 4, 74
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\tests.py", "Python", 0, 17, 0, 0, 0, 0, 4, 9, 30
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\urls.py", "Python", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\views.py", "Python", 0, 500, 0, 0, 0, 0, 17, 96, 613
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\admin.py", "Python", 0, 9, 0, 0, 0, 0, 0, 5, 14
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\choices.py", "Python", 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\forms.py", "Python", 0, 44, 0, 0, 0, 0, 5, 14, 63
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\migrations\0001_initial.py", "Python", 0, 81, 0, 0, 0, 0, 1, 7, 89
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\migrations\0002_inventario_propiedad_heavens_and_more.py", "Python", 0, 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\migrations\0003_remove_inventario_propiedad_heavens.py", "Python", 0, 11, 0, 0, 0, 0, 1, 6, 18
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\migrations\0004_inventario_venta_contenedor.py", "Python", 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\models.py", "Python", 0, 112, 0, 0, 0, 0, 5, 32, 149
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\css\crear_item.css", "CSS", 0, 0, 0, 0, 0, 25, 1, 1, 27
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\css\historico.css", "CSS", 0, 0, 0, 0, 0, 89, 1, 25, 115
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\css\mover_item.css", "CSS", 0, 0, 0, 0, 0, 26, 2, 6, 34
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\css\opbase.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 10, 48
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\css\recibo_items.css", "CSS", 0, 0, 0, 0, 0, 121, 0, 31, 152
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\js\crear_item.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\js\editar_item.js", "JavaScript", 0, 0, 0, 0, 40, 0, 0, 5, 45
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\js\eliminar_item.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 4, 42
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\static\js\mover_item.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\tables.py", "Python", 0, 32, 0, 0, 0, 0, 2, 10, 44
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\historico.html", "Django", 0, 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\inventario_list_bodega_etnico.html", "Django", 0, 0, 0, 38, 0, 0, 0, 0, 38
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\inventario_list_bodega_fieldex.html", "Django", 0, 0, 0, 38, 0, 0, 0, 0, 38
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\inventario_list_bodega_juan.html", "Django", 0, 0, 0, 38, 0, 0, 0, 0, 38
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\opbase.html", "Django", 0, 0, 0, 90, 0, 0, 0, 0, 90
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_crear_item_etnico.html", "Django", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_crear_item_fieldex.html", "Django", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_crear_item_juan.html", "Django", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_editar_button.html", "Django", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_editar_item.html", "Django", 0, 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_eliminar_button.html", "Django", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_eliminar_item.html", "Django", 0, 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_items_list_etnico.html", "Django", 0, 0, 0, 68, 0, 0, 3, 3, 74
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_items_list_fieldex.html", "Django", 0, 0, 0, 68, 0, 0, 3, 3, 74
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\templates\recibo_items_list_juan.html", "Django", 0, 0, 0, 67, 0, 0, 3, 3, 73
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\tests.py", "Python", 0, 24, 0, 0, 0, 0, 2, 1, 27
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\urls.py", "Python", 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\inventarios\views.py", "Python", 0, 374, 0, 0, 0, 0, 21, 76, 471
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\manage.py", "Python", 0, 17, 0, 0, 0, 0, 1, 5, 23
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\requirements.txt", "pip requirements", 71, 0, 0, 0, 0, 0, 0, 0, 71
"Total", "-", 71, 3698, 146, 2010, 390, 1480, 193, 1065, 9053
